Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
M,Roach,Shore,17.3,47.1,0.009096673,F,M,ALA,-81.69802032,1,3.934361408,3.839475207,3.886918308,3.193573321,0.639139715,-28.9353154,0.626633476,10.53460392,-121.2260694,4.004702034,-29.17,6.72,46.03,14.38,3.2,-117.22
M,Perch,Shore,18.3,62.1,0.010133007,F,I,ALA,-81.69802032,6,2.914753444,3.258971872,3.086862658,0.6809965,0.402713176,-28.35409543,0.39704143,6.674833635,-103.3693338,8.626485982,-28.35,8.72,47.36,14.43,3.28,-94.74
M,Bleak,Pelagic,15.9,29.1,0.007239384,M,M,ALA,-81.69802032,21,5.0309443,4.432518386,4.731731343,3.862739758,0.701417636,-26.81155711,0.687179873,11.55247536,-99.72071646,8.429600494,-26.72,6.65,47.44,14.41,3.29,-91.29
M,Vendace,Shore,14.9,32.1,0.009703898,F,M,ALJ,-79.50001648,2,3.670634921,4.477089892,4.073862406,6.824593059,0.973664665,-29.53416782,0.952194999,16.00775821,-115.7958253,9.119883672,-29.9,12.47,47.57,14.85,3.2,-106.68
M,Bleak,Shore,18.9,49.1,0.007272707,F,M,ALJ,-79.50001648,8,3.297442799,7.144123382,5.220783091,5.54853529,0.857048138,-27.33450068,0.838608947,14.09821441,-125.758798,5.320682966,-27.88,9.88,46.12,14.34,3.22,-120.44
M,Roach,Shore,19.5,91.4,0.012326573,F,M,ALJ,-79.50001648,15,3.115079365,2.87006094,2.992570152,3.327486559,0.651625717,-27.87976235,0.638770027,10.73863668,-114.6017818,-3.454230274,-28.37,12.19,48.2,15.38,3.13,-118.06
M,Perch,Shore,12.5,22.2,0.0113664,F,I,ALJ,-79.50001648,24,3.011811024,2.932038835,2.971924929,3.318201766,0.650760379,-29.22064349,0.637928871,10.72449564,-124.5377571,4.469504243,-29.74,12.78,44.95,14.01,3.21,-120.07
M,Bleak,Shore,14,21.1,0.007689504,F,M,ERA,-70.56410441,3,7.531465692,1.201260339,4.366363015,6.107047777,0.9082145,-26.90085693,0.888433238,14.93583192,-105.7233235,-2.848803154,-27.26,12.06,47.75,14.92,3.2,-108.57
M,Roach,Pelagic,13.1,22.7,0.010097456,F,M,ERA,-70.56410441,11,4.058313633,1.474346373,2.766330003,3.890805475,0.704023393,-27.41949616,0.689713808,11.59507441,-120.7337133,,-27.56,12.79,45.43,14.31,3.17,
M,Perch,Pelagic,15.6,45.1,0.011879625,F,M,ERA,-70.56410441,16,3.321924703,2.380952381,2.851438542,2.084792666,0.53531316,-27.31386192,0.525757418,8.838733287,-115.143851,,-27.61,15.78,37.66,11.71,3.22,
M,Perch,Shore,19.8,109.6,0.014119359,F,M,ERA,-70.56410441,34,3.135542766,2.927491276,3.031517021,2.61392673,0.584960602,-27.46865875,0.573984056,9.649491957,-100.500201,10.12118958,-27.54,12.43,42.52,13.59,3.13,-90.38
M,Vendace,Profundal,21.9,84.7,0.00806401,F,M,HAM,-69.84390886,4,4.091717731,4.568817818,4.330267775,3.352201181,0.653928837,-31.06923734,0.641008814,10.7762739,-111.2362969,1.942924622,-31.12,9.17,46.4,14.74,3.15,-109.29
M,Roach,Pelagic,15.9,35.1,0.008732041,F,M,HAM,-69.84390886,17,3.871614845,3.91105817,3.891336507,3.526448576,0.670155579,-27.36009094,0.656783412,11.04146742,-105.8630139,-0.821622922,-28.89,7.64,47.34,14.76,3.21,-106.68
M,Perch,Profundal,21.3,115,0.011900331,F,M,HAM,-69.84390886,26,3.810463968,3.308036583,3.559250276,3.690399339,0.685405687,-29.46322709,0.671610365,11.29072969,-90.77392211,-3.381952525,-29.67,10.38,46.45,14.92,3.11,-94.16
M,Smelt,Pelagic,12.5,11.7,0.0059904,M,M,HII,-69.77996968,8,4.287118977,3.832116788,4.059617883,4.042156971,0.718066935,-27.59392797,0.703371133,11.82467356,-123.8059557,19.91275332,-27.9,16,37.63,11.25,3.35,-103.89
M,Vendace,Pelagic,16.6,52.7,0.011520899,F,M,HII,-69.77996968,19,6.680161943,5.45378851,6.066975226,8.863948565,1.157949071,-27.33334799,1.131896443,19.0287962,-114.6864713,-2.151879126,-27.65,14.05,46.03,14.43,3.19,-116.84
M,Ruffe,Shore,12.3,25.8,0.013864505,F,M,HII,-69.77996968,27,4.57964232,1.800720288,3.190181304,5.215737688,0.82646694,-30.02013881,0.808839152,13.59774163,-105.1004101,18.16415241,-30.41,17.27,43.09,13.08,3.3,-86.94
M,Roach,Pelagic,20.1,87.3,0.010750436,F,M,HII,-69.77996968,38,3.562898089,1.333864225,2.448381157,3.430420855,0.661215432,-26.64312437,0.648092133,10.89535461,-109.4476822,-1.24188198,-26.94,10.22,36.16,10.75,3.36,-110.69
