Tissue,Species,Site,Fish length (cm),Fish weight (gram),W/L^3,Sex (M/F),Maturity,Codelake,d2H water,Sample#,Lipid % CN,Lipid % H,Lipid % AVG,Lipid (Mc2),MC2 difference  d13C,MC2 d13C,Fry difference d13C,Fry difference d2H,Fry Modelled d2H,Residuals,d13C,d15N,%C,%N,C/N,d2H
M,Roach,Shore,17.3,47.1,0.009096673,F,M,ALA,-81.69802032,1,3.934361408,3.839475207,3.886918308,3.193573321,0.639139715,-28.9353154,0.626633476,10.53460392,-121.2260694,4.004702034,0.399741212,-0.560100363,-0.140723788,0.366296442,-0.09372494,14.53930595
M,Perch,Shore,18.3,62.1,0.010133007,F,I,ALA,-81.69802032,6,2.914753444,3.258971872,3.086862658,0.6809965,0.402713176,-28.35409543,0.39704143,6.674833635,-103.3693338,8.626485982,0.409996594,0.314015495,2.34956616,0.277050591,0.101764262,15.30131962
M,Bleak,Pelagic,15.9,29.1,0.007239384,M,M,ALA,-81.69802032,21,5.0309443,4.432518386,4.731731343,3.862739758,0.701417636,-26.81155711,0.687179873,11.55247536,-99.72071646,8.429600494,0.795908332,0.398398772,4.86128767,1.605891728,-0.033376384,19.98207585
M,Vendace,Shore,14.9,32.1,0.009703898,F,M,ALJ,-79.50001648,2,3.670634921,4.477089892,4.073862406,6.824593059,0.973664665,-29.53416782,0.952194999,16.00775821,-115.7958253,9.119883672,0.608094583,0.292982556,0.000401135,1.147416406,-0.268302609,25.12764188
M,Bleak,Shore,18.9,49.1,0.007272707,F,M,ALJ,-79.50001648,8,3.297442799,7.144123382,5.220783091,5.54853529,0.857048138,-27.33450068,0.838608947,14.09821441,-125.758798,5.320682966,0.314181082,0.120539321,-1.754047753,0.292686476,-0.191902116,19.41889737
M,Roach,Shore,19.5,91.4,0.012326573,F,M,ALJ,-79.50001648,15,3.115079365,2.87006094,2.992570152,3.327486559,0.651625717,-27.87976235,0.638770027,10.73863668,-114.6017818,-3.454230274,0.164447786,0.890442908,1.969238235,1.376240154,-0.167376751,7.284406408
M,Perch,Shore,12.5,22.2,0.0113664,F,I,ALJ,-79.50001648,24,3.011811024,2.932038835,2.971924929,3.318201766,0.650760379,-29.22064349,0.637928871,10.72449564,-124.5377571,4.469504243,0.129816515,0.71492386,-1.072761177,0.06156329,-0.091103692,15.19399988
M,Bleak,Shore,14,21.1,0.007689504,F,M,ERA,-70.56410441,3,7.531465692,1.201260339,4.366363015,6.107047777,0.9082145,-26.90085693,0.888433238,14.93583192,-105.7233235,-2.848803154,0.550772829,1.292610204,0.45620941,1.15566841,-0.235574768,12.08702876
M,Roach,Pelagic,13.1,22.7,0.010097456,F,M,ERA,-70.56410441,11,4.058313633,1.474346373,2.766330003,3.890805475,0.704023393,-27.41949616,0.689713808,11.59507441,-120.7337133,,0.568095911,0.948212662,-1.227873923,0.289429457,-0.153117407,
M,Perch,Pelagic,15.6,45.1,0.011879625,F,M,ERA,-70.56410441,16,3.321924703,2.380952381,2.851438542,2.084792666,0.53531316,-27.31386192,0.525757418,8.838733287,-115.143851,,0.236060049,1.959058719,-8.866345226,-2.633559451,-0.027673367,
