Lake,RUN,Identifier,Code,Species,Identifier2,Amount,d13C,d13C',d15N,%C,%N,C/N,Untreated d2H,Treated d2H,Teated-Untreated,MC2 Muscle,MC2 resids,LN model,LN resid,,
Inari,1,09IS1,09IS1,SSR Whitefish,0,0.534,-29.15404815,-28.79069282,10.51463854,46.72625676,14.7746492,3.162596697,-116.4195311,-113.393899,3.025632042,5.851153043,2.825521001,7.450403473,4.424771431,0,
Inari,1,09IS14,09IS14,SSR Whitefish,0,0.581,-28.85613056,-28.21205301,10.36032959,46.25182508,14.02427879,3.297982434,-123.0255451,-118.5199709,4.505574168,10.02626565,5.520691482,11.61087986,7.105305689,,
Inari,1,09IS17,09IS17,SSR Whitefish,0,0.552,-28.890009,-28.2298755,10.22070818,46.66274546,14.11419458,3.30608631,-126.1442118,-120.0536064,6.090605483,10.26505394,4.174448453,11.85446984,5.763864361,,
Inari,2,09IS36,09IS36,SSR Whitefish,0,0.589,-28.95397845,-28.60034542,11.25017601,46.14233477,14.61073562,3.158111676,-107.9340568,-104.6269229,3.307133879,5.706550978,2.399417099,7.309546998,4.002413119,,
Inari,2,09IV14,09IV14,Vendace,0,0.579,-30.23265953,-29.68891252,8.765589033,46.25903682,14.24121475,3.248250773,-134.2133058,-132.2414482,1.971857648,8.534104202,6.562246554,10.10278777,8.130930123,,
Inari,3,09IV15,09IV15,Vendace,0,0.562,-29.97562072,-29.19172952,8.650181923,46.8688872,13.90789953,3.369947209,-132.6421527,-129.297419,3.344733683,12.10558253,8.760848845,13.7533947,10.40866102,,
Inari,3,09IV19,09IV19,Vendace,0,0.582,-30.27935483,-29.46605772,9.660407102,46.75602803,13.81069329,3.385494636,-126.961978,-122.7275221,4.234455843,12.54290063,8.308444784,14.21025514,9.975799295,,
Inari,3,09IV22,09IV22,Vendace,0,0.57,-29.11579904,-28.55646198,9.024525325,46.54360217,14.29525683,3.255877296,-128.8291009,-124.8704529,3.958647977,8.765968506,4.807320529,10.33555172,6.376903741,,
Inari,3,09ID6,09ID6,DR Whitefish,0,0.513,-28.45685312,-27.7282285,8.013792881,46.97429747,14.05945024,3.341119082,-134.0175671,-127.4781167,6.5394504,11.28366233,4.744211934,12.90067641,6.361226005,,
Inari,4,09ID16,09ID16,DR Whitefish,0,0.573,-28.79474287,-28.33174024,8.183751515,46.25837756,14.41371702,3.209330216,-135.7500626,-130.9544756,4.795587031,7.333212627,2.537625596,8.906343546,4.110756515,,
